author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
kc611,9,0.0,191.5,1693,2219,18,8,90,1611,2081.0,"[39, 0, 14, 6, 112, 0, 85, 0]","[0, 0, 0, 0, 15, 0, 2, 1]","[0, 0, 8, 0, 0, 0, 0, 0]",13.595300731744256
larryshamalama,4,0.0,26.46,250,145,1,0,5,245,140.0,"[0, 0, 0, 0, 8, 0, 4, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5.0
ljmartin,1,0.0,115.34000000000002,1092,613,0,0,8,1086,607.0,"[0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.92152466367713
lucianopaz,7,0.0,49.02,470,197,6,1,8,462,197.0,"[3, 0, 0, 0, 15, 0, 27, 0]","[0, 0, 0, 0, 6, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",9.142857142857142
mattKretschmer,2,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
michaelosthege,15,0.0,93.35,915,177,1,3,32,883,174.0,"[16, 0, 0, 0, 21, 0, 61, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",22.213377459091745
mikkelbue,4,0.0,151.53,1477,383,0,1,142,1335,346.0,"[20, 0, 0, 4, 57, 2, 108, 18]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",3.1125478927203067
mpall17,1,0.0,10.280000000000001,98,48,3,0,3,95,48.0,"[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.0
neel iyer,2,0.0,0.8800000000000001,8,8,0,0,1,8,8.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0
percevalve,1,0.0,2.5,25,0,0,0,0,25,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
ricardoV94,31,0.0,278.65000000000003,2654,1278,10,7,103,2567,1200.0,"[82, 0, 0, 1, 154, 0, 165, 0]","[0, 0, 0, 0, 10, 0, 0, 0]","[0, 0, 7, 0, 0, 0, 0, 0]",54.52496149665654
rpgoldman,16,0.0,81.41,773,409,1,0,36,750,401.0,"[5, 0, 3, 0, 6, 0, 37, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.414880952380953
semohr,1,0.0,0.66,6,6,0,0,0,6,6.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
theorashid,1,0.0,6.6000000000000005,66,0,1,0,0,66,0.0,"[0, 0, 0, 0, 0, 0, 9, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
twiecki,20,0.0,6.970000000000001,62,77,0,0,0,62,77.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.0
zaxtax,2,0.0,11.020000000000001,107,32,4,0,1,106,32.0,"[4, 0, 0, 0, 14, 0, 12, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.807017543859649
zoj,1,0.0,29.110000000000003,291,0,0,3,4,290,0.0,"[5, 0, 0, 0, 14, 0, 9, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",2.4754098360655736
